name,description
Toshiba Satellite L740 Core i3 M380,"Laptop dengan performa cukup untuk penggunaan harian, kondisi baik tanpa minus."
Lenovo ThinkPad Yoga 11e Core i5 Gen 7,Laptop convertible dengan layar touchscreen dan storage besar. Cocok untuk belajar dan kerja fleksibel.
Lenovo ThinkPad Yoga L13 Gen 1 Core i5 Gen 10,Laptop modern dengan performa tinggi dan storage NVMe cepat. Cocok untuk profesional.
HP EliteBook 840 G2 Core i7-5600U,Laptop bisnis dengan performa kuat untuk pekerjaan kantor dan multitasking.
Lenovo ThinkPad T14s Gen 2 Ryzen 7 Pro 5850U,"Laptop premium dengan performa sangat tinggi, cocok untuk multitasking berat dan profesional. Dilengkapi Windows 11 Pro, tas, mouse, dan garansi."
HP EliteBook 830 G8 Core i5 Gen 11,Laptop bisnis modern dengan performa tinggi dan desain slim. Cocok untuk pekerjaan profesional dan multitasking.
Lenovo ThinkPad T470 Core i5 Gen 7,"Laptop bisnis tangguh dengan performa stabil. Dilengkapi Windows 11 Pro, tas, dan garansi."
Laptop 14 Inch RAM 16GB Windows 11,"Laptop baru dengan RAM besar 16GB, cocok untuk pelajar dan pekerjaan harian. Sudah termasuk Office dan bonus."
Dell Series 14 Inch,"Laptop Dell 14 inci untuk kebutuhan umum seperti office, browsing, dan multimedia ringan."
Dell Latitude E Series Core i5,Laptop bisnis seri lama dengan performa cukup untuk penggunaan dasar. Cocok untuk kebutuhan kantor sederhana.
Asus X441M Celeron N4000,Laptop entry-level untuk kebutuhan dasar seperti mengetik dan browsing. Kondisi baik tanpa minus.
Lenovo ThinkPad T480s Core i5 Gen 8 Touchscreen,Laptop premium dengan layar touchscreen dan performa tinggi. Cocok untuk multitasking dan mobilitas.
Sony SVE14AA11W Core i5-2450M,Laptop dengan desain menarik warna pink dan performa cukup untuk penggunaan harian.
Dell Latitude D630 Core 2 Duo,Laptop lama untuk kebutuhan dasar. Dilengkapi mouse dan tas.
Lenovo V130 Core i3 Touchscreen,"Laptop serbaguna dengan layar touchscreen, cocok untuk pekerjaan ringan dan belajar."
Dell Latitude 5320 2-in-1 Core i7 Gen 11,Laptop convertible modern dengan performa tinggi. Cocok untuk kerja fleksibel dan mobilitas.
Acer Aspire V5-431 Core i3-3227U,Laptop dengan performa stabil untuk penggunaan sehari-hari. Kondisi normal tanpa minus.
Lenovo ThinkPad X260 Core i5,Laptop bisnis ringkas dengan performa stabil untuk pekerjaan kantor.
HP 14s-dq4016TU,Laptop modern untuk kebutuhan harian dengan desain ringan dan performa efisien.
HP ProBook 440 G7 Core i5 Gen 10 Touchscreen,"Laptop bisnis dengan performa tinggi, layar touchscreen, dan storage cepat NVMe."
Acer Aspire 14 Celeron N3060,Laptop entry-level untuk kebutuhan dasar. Dilengkapi tas dan mouse.
Lenovo ThinkPad E595 Ryzen 7 3700U,Laptop dengan performa tinggi dari AMD Ryzen 7 dan grafis Radeon. Cocok untuk multitasking dan kerja berat.
Fujitsu Lifebook T902 Core i5-3320M Touchscreen,Laptop convertible dengan layar touchscreen yang bisa diputar. Cocok untuk kerja fleksibel.
Lenovo ThinkPad X201 Tablet,Laptop tablet dengan desain fleksibel untuk penggunaan mobile.
Lenovo ThinkPad L13 Core i5 Gen 10,Laptop bisnis modern dengan performa stabil untuk produktivitas tinggi.
Dell Latitude E7440 Touchscreen,Laptop bisnis dengan layar touchscreen dan performa cukup untuk multitasking ringan.
HP Laptop Slim Sekolah,Laptop tipis dan ringan cocok untuk pelajar dan penggunaan dasar sehari-hari.
Toshiba Laptop Umum,Laptop Toshiba dengan performa standar untuk kebutuhan harian.
Lenovo ThinkPad T460s Core i7 Gen 6,Laptop bisnis dengan performa tinggi dan cocok untuk pekerjaan profesional.
Lenovo ThinkPad X260 Core i5 Gen 6,Laptop ringkas untuk mobilitas dengan performa stabil.
Lenovo 100e Chromebook,Laptop berbasis Chrome OS yang ringan dan cocok untuk pelajar.
NEC VKA10H M3-8100Y,Laptop slim dan ringan dengan performa efisien untuk penggunaan harian.
HP TPN-113 AMD A4-1200,Laptop entry-level untuk kebutuhan dasar seperti browsing dan mengetik.
Lenovo Ideapad 320/330 AMD A9,Laptop serbaguna dengan performa cukup untuk pekerjaan sehari-hari.
Dell Latitude E Series Core i5,Laptop bisnis dengan performa stabil untuk kebutuhan kantor.
Advan Workmate Ryzen 5 3500U / i3-1215U,"Laptop modern dengan performa baik, layar IPS FHD+, dan garansi resmi."
Lenovo V14 G5 Core i3-1315U,Laptop generasi baru dengan performa efisien dan layar IPS FHD. Cocok untuk kerja dan belajar.
Asus E402Y 14 Inch,Laptop ringan untuk kebutuhan dasar. Dilengkapi mouse dan tas.
HP EliteBook 820 Core i5 Gen 5,Laptop bisnis dengan build kokoh dan performa stabil.
Dell Latitude 7480 Core i7 Gen 7,Laptop bisnis dengan layar FHD dan performa tinggi untuk multitasking.
HP 520,Laptop lama untuk kebutuhan dasar dengan harga terjangkau.
Lenovo ThinkPad X220 Core i5,Laptop bisnis klasik dengan build kuat dan performa cukup.
Advan Workmate Ryzen 5 3500U / i3-1215U,"Laptop dengan performa baik dan layar IPS modern, cocok untuk kerja harian."
Axioo MyBook Hype 10 Celeron N4020,Laptop entry-level untuk pelajar dan penggunaan ringan.
Advan Workmate Ryzen 5 3500U,Laptop dengan performa cukup untuk multitasking ringan dan pekerjaan kantor.
Lenovo ThinkPad X240,Laptop bisnis ringkas untuk mobilitas dan pekerjaan ringan.
Asus X441N Celeron N3350,Laptop ringan dengan performa dasar untuk penggunaan sehari-hari.
Asus A42J Core i5 NVIDIA GeForce,Laptop dengan grafis tambahan untuk multimedia dan gaming ringan.
Dell Latitude 3190 2-in-1 Pentium N5000 Touchscreen,Laptop convertible dengan layar touchscreen untuk penggunaan fleksibel.
Toshiba Satellite C40A Core i3-3110M,Laptop dengan performa cukup untuk kebutuhan harian.
HP Core i3 14 Inch,Laptop serbaguna dengan performa cukup untuk pekerjaan ringan. Dilengkapi mouse dan tas.
Lenovo ThinkPad X260 Core i7,Laptop bisnis ringkas dengan performa tinggi untuk mobilitas.
Advan Workmate Ultra Intel Ultra 5,Laptop modern dengan fitur AI boost dan performa tinggi untuk produktivitas.
Lenovo ThinkPad L380 Celeron 3965U,Laptop bisnis entry-level untuk kebutuhan dasar. Dilengkapi tas dan mouse.
Lenovo Ideapad 110 Celeron N3060,Laptop entry-level untuk penggunaan sehari-hari seperti browsing dan mengetik.
Dell Latitude 7280 Core i5 Gen 6,Laptop bisnis dengan performa stabil dan desain ringkas. Cocok untuk pekerjaan kantor dan multitasking ringan. Dilengkapi garansi.
Lenovo ThinkPad T490/T490s Core i5 Gen 8,"Laptop bisnis slim dan ringan dengan performa tinggi. Cocok untuk mobilitas dan pekerjaan profesional. Dilengkapi tas, mouse, dan garansi."
Lenovo ThinkPad T470 Core i7 Gen 7,Laptop bisnis dengan performa tinggi dan build kokoh. Cocok untuk multitasking dan pekerjaan berat.
Dell Latitude E7450 Core i7,Laptop bisnis dengan performa stabil dan desain elegan. Cocok untuk penggunaan profesional.
Dell Latitude 5300/3390 2-in-1 Core i5 Gen 8 Touchscreen,Laptop convertible dengan layar touchscreen dan performa baik. Cocok untuk kerja fleksibel.
Lenovo ThinkPad Yoga 370 Touchscreen,Laptop 2-in-1 dengan layar touchscreen dan desain slim. Cocok untuk presentasi dan pekerjaan fleksibel.
Lenovo ThinkPad T460s Core i7 Gen 6 Touchscreen,Laptop bisnis dengan layar touchscreen dan performa tinggi. Cocok untuk multitasking dan mobilitas.
Lenovo ThinkPad X1 Core i5 Gen 2,Laptop premium dengan desain ringan dan performa cukup untuk pekerjaan profesional.
Asus X441S Celeron N3060,Laptop entry-level untuk kebutuhan dasar seperti browsing dan mengetik. Kondisi normal tanpa minus.
Laptop Core i5 Slim Series,Laptop dengan performa Intel Core i5 dan desain tipis. Cocok untuk penggunaan harian dan kerja ringan.
Advan Soulmate Celeron N4020 14 Inch,Laptop ringan dengan performa dasar untuk pelajar dan penggunaan sehari-hari. Storage dapat di-upgrade.
HP Compaq 6910p Series,Laptop bisnis lama dengan build kokoh untuk kebutuhan dasar.
Lenovo ThinkPad T495 Ryzen 7 3700U Touchscreen,Laptop performa tinggi dengan grafis Radeon Vega. Cocok untuk multitasking dan pekerjaan berat.
Acer Aspire V5 Celeron 1019Y,Laptop entry-level untuk kebutuhan ringan seperti browsing dan mengetik.
Asus E203NAH Celeron N3350,Laptop ringan untuk pelajar dan penggunaan sehari-hari.
Lenovo ThinkPad L480 Core i5 Gen 8,Laptop bisnis dengan performa stabil. Cocok untuk pekerjaan kantor. Dilengkapi mouse.
Lenovo IdeaPad Flex 10,Laptop kecil fleksibel untuk penggunaan ringan dan mobilitas tinggi.
Advan Soulmate Laptop + Charger,"Set laptop Advan dengan charger dan kabel Type-C, cocok untuk penggunaan harian."
HP Chromebook X360 G1 Celeron Touchscreen,Laptop 2-in-1 berbasis Chrome OS dengan layar touchscreen. Cocok untuk pelajar.
Dell Latitude 3190 Pentium,Laptop ringan dengan performa dasar untuk kebutuhan sekolah dan kerja ringan.
Advan Evo-X Core i3 Gen 12 16 Inch Touchscreen,Laptop modern dengan layar besar 2.5K touchscreen dan stylus. Cocok untuk produktivitas dan kreatif.
Dell Latitude E6420 Core i5,Laptop bisnis tangguh dengan performa stabil untuk penggunaan kantor.
Acer Aspire E1-410 Celeron N2820,Laptop entry-level untuk kebutuhan dasar.
Asus X402C Celeron 1007U,Laptop ringan untuk penggunaan harian sederhana.
Asus X453S Celeron N2840,Laptop entry-level untuk pelajar dan pekerjaan ringan.
Asus X441S Celeron N3060,Laptop sederhana untuk kebutuhan dasar dengan kondisi normal.
Dell Inspiron 1440 Dual Core,Laptop lama untuk penggunaan ringan dan dasar.
Acer Aspire 4736 Core 2 Duo,Laptop lama dengan performa cukup untuk penggunaan dasar.
Lenovo ThinkPad T470s Core i5 Touchscreen,Laptop bisnis tipis dengan layar touchscreen dan performa stabil.
Lenovo ThinkPad T460 Core i7 Touchscreen,Laptop bisnis dengan performa tinggi dan layar touchscreen.
Lenovo ThinkPad T14 Gen 2 Core i7 Gen 11,"Laptop premium dengan performa tinggi, grafis Iris Xe, dan fitur fingerprint. Cocok untuk profesional."
Compaq Presario CQ45 NVIDIA,Laptop lama dengan grafis tambahan untuk multimedia ringan.
Asus X45U AMD E2-1800,Laptop entry-level untuk kebutuhan dasar.
Acer Aspire 14 Celeron N3060,Laptop ringan untuk penggunaan harian. Dilengkapi tas dan mouse.
Lenovo ThinkPad Edge E40,Laptop bisnis dengan build kokoh untuk kebutuhan dasar.
Dell Latitude 7290/7280/7270/7250/7390 Core i5/i7,Laptop bisnis dengan berbagai pilihan performa untuk kebutuhan profesional.
HP X360 11 EE Touchscreen,"Laptop 2-in-1 dengan layar touchscreen, cocok untuk pelajar."
Laptop Core i5 Gaming,Laptop dengan performa cukup untuk gaming ringan dan multitasking.
Dell Latitude E7440 Core i5,Laptop bisnis dengan performa stabil untuk pekerjaan kantor.
HP EliteBook 8440p / ProBook 6450b / 6440b Core i5,Laptop bisnis dengan build kokoh dan performa cukup untuk penggunaan harian.
Lenovo G40-30 Celeron N2840,Laptop entry-level untuk kebutuhan dasar.
Acer Aspire ES1-420 AMD E1-2500,Laptop sederhana untuk penggunaan ringan.
Toshiba Satellite L840 Core i5-3210M,Laptop dengan performa cukup untuk multitasking ringan.
Dell Latitude E7440 Core i5 Gen 4,Laptop bisnis dengan performa stabil untuk pekerjaan kantor.
Samsung 300E Celeron 847,Laptop entry-level untuk penggunaan dasar sehari-hari.
Lenovo G470 Core i5 Radeon,Laptop dengan grafis tambahan untuk multimedia dan editing ringan.
Lenovo ThinkPad X280 / T480 Core i5,Laptop bisnis ringkas dengan performa stabil untuk mobilitas.
Dell Latitude E7450 Touchscreen,Laptop bisnis dengan layar touchscreen dan performa cukup.
Dell Latitude E6220,Laptop bisnis kecil dan ringkas untuk kebutuhan dasar.
